"f","zmean","zsd","phimean","phisd"
50,198.704703654584,38.9821830521106,-0.749591739766461,38.9821830521106
150,128.653053473491,28.7759581803497,0.634726358642849,28.7759581803497
250,106.736463140699,23.3955735532045,0.593805557136588,23.3955735532045
350,93.9770897022127,20.2702339020779,0.516327221593128,20.2702339020779
450,85.3894141387903,18.1520554113041,0.0897351938986305,18.1520554113041
550,79.1651875983841,16.7093801846464,-0.467110897348571,16.7093801846464
650,74.5780296907425,15.5464721797946,-0.530289945195377,15.5464721797946
750,69.229268044851,14.2232036137173,-0.501765431307034,14.2232036137173
850,67.6821316642446,13.7638599547743,-0.491895651354423,13.7638599547743
950,65.3118429289837,13.0874179992445,-0.476278524490568,13.0874179992445
1050,62.5412292715817,12.425942066078,-0.462178200807513,12.425942066078
1150,61.3082445618956,12.1555271286644,-0.447415954431803,12.1555271286644
1250,59.806207716001,11.6729503978976,-0.418150871515548,11.6729503978976
1350,59.3089446622885,11.6262063298304,-0.422233224274461,11.6262063298304
1450,57.3128149450879,11.2572230669554,-0.410244227490309,11.2572230669554
1550,55.8871998830912,10.9834064960514,-0.393332086202058,10.9834064960514
1650,55.2725262929628,10.7989778763149,-0.387929867210097,10.7989778763149
1750,54.7130813406293,10.6663655284592,-0.367602088767819,10.6663655284592
1850,53.6865436876288,10.4389316771349,-0.368393591148316,10.4389316771349
1950,53.1440079628883,10.2752350039649,-0.367492103985593,10.2752350039649
2050,52.3277700870555,10.0963459616631,-0.351625292828749,10.0963459616631
2150,51.6822001356702,10.0010594038331,-0.343886101190857,10.0010594038331
2250,50.5099714332188,9.76250819435045,-0.329806303640792,9.76250819435045
2350,50.6274454124623,9.64846800930624,-0.329982116842237,9.64846800930624
2450,50.043335162444,9.46016902292105,-0.323197026178474,9.46016902292105
2550,49.740579285558,9.36933397311028,-0.31698787398643,9.36933397311028
2650,49.3624592123694,9.26765425701388,-0.316774581556524,9.26765425701388
2750,48.458847275237,9.06786275855248,-0.302517030350967,9.06786275855248
2850,48.3904211250579,9.02839305679954,-0.296449962758764,9.02839305679954
2950,47.9875731457557,8.91657469985698,-0.29027237876817,8.91657469985698
3050,47.6915676511913,8.82528984076876,-0.282412365528061,8.82528984076876
3150,47.3615771150383,8.71551770276796,-0.279021041128665,8.71551770276796
3250,47.2856944397904,8.67127994805611,-0.277440518263516,8.67127994805611
3350,46.8822022439083,8.56472476909046,-0.26887114391943,8.56472476909046
3450,46.4634298862652,8.47312801352144,-0.261421848193293,8.47312801352144
3550,46.1507258258823,8.3754012903235,-0.25928938414735,8.3754012903235
3650,45.9591729238327,8.29114691431753,-0.255466889038445,8.29114691431753
3750,46.5676040969598,8.53820362013617,-0.253482150157121,8.53820362013617
3850,45.4473201725871,8.13611396578397,-0.246173480986216,8.13611396578397
3950,45.458429181025,8.13005941054964,-0.239472120362475,8.13005941054964
4000,45.9003505105043,7.4259718176463,0.284770828283347,7.4259718176463
4160,45.266354346527,7.25374888803873,0.18224523533314,7.25374888803873
4320,48.4115033328221,7.65226620535284,0.166767040345571,7.65226620535284
4480,48.9693589648548,7.66572566510985,0.177268432257635,7.66572566510985
4640,48.4075971546617,7.55708708216621,0.217420442422227,7.55708708216621
4800,46.9672760854283,7.34540313600286,0.218607650789254,7.34540313600286
4960,44.1927667954101,6.92236762704923,0.188345876747327,6.92236762704923
5120,43.5559682322394,6.79909666755874,0.150571028515681,6.79909666755874
5280,44.4052410194072,6.89512046776399,0.123350249364037,6.89512046776399
5440,45.9703799652943,7.0943992567961,0.108891087391442,7.0943992567961
5600,46.1181963876199,7.10308543193852,0.101741840612534,7.10308543193852
5760,45.2134017561506,6.97905482761768,0.0777444873453299,6.97905482761768
5920,43.3010345030672,6.70698113522746,0.0336200527684643,6.70698113522746
6080,42.6539945246618,6.61378430682991,0.0216376770757554,6.61378430682991
6240,42.8909458925163,6.60578485750587,0.0187476737169911,6.60578485750587
6400,43.3980692164377,6.6296979967483,0.0146946882168817,6.6296979967483
6560,44.3781343717307,6.73590985972373,0.00620510107162179,6.73590985972373
6720,43.9765163973215,6.67809333341035,-0.0160310542671125,6.67809333341035
6880,43.5263903369323,6.61744134643577,-0.0378767808145224,6.61744134643577
7040,42.4597484812412,6.46053844190053,-0.0343147375641213,6.46053844190053
7200,42.1169369293727,6.41091422729153,-0.0146540375611986,6.41091422729153
7360,42.3754606329742,6.4038580156316,-0.00727121654908505,6.4038580156316
7520,42.8114717687189,6.40143349591753,-0.0028024363300181,6.40143349591753
7680,42.8529786189815,6.32016994820891,-0.000997028185382712,6.32016994820891
7840,42.6922513299574,6.19208740737614,0.00153304583000551,6.19208740737614
8000,42.4645539268212,6.04169153629778,0.00977209139583538,6.04169153629778
8160,42.2497634457182,5.87896415057218,0.0286760179176384,5.87896415057218
8320,42.4704169263334,5.77522978881046,0.0484072891993869,5.77522978881046
8480,42.7527114543911,5.67537634806674,0.0611679853514706,5.67537634806674
8640,43.0768443264506,5.58545134250841,0.0638549894536944,5.58545134250841
8800,43.1772430319517,5.47443217638516,0.0607224634027141,5.47443217638516
8960,42.7599491291874,5.31476551159131,0.0713380179073557,5.31476551159131
9120,42.5975477967323,5.15652806227001,0.0874465545287618,5.15652806227001
9280,42.8991555658834,5.04011376717941,0.104030849015695,5.04011376717941
9440,43.3512563486104,4.93798079580292,0.117681154737778,4.93798079580292
9600,43.6293793394976,4.81309407248209,0.11983734589425,4.81309407248209
9760,43.8291504263232,4.6822328370544,0.124458564048742,4.6822328370544
9920,43.6767655667971,4.51679244606047,0.125499772053198,4.51679244606047
10080,43.7169672414252,4.37353333528664,0.139842756427413,4.37353333528664
10240,43.7966421697941,4.22975874500194,0.159353875554092,4.22975874500194
10400,44.0210064833742,4.09918368097679,0.177786086470679,4.09918368097679
10560,44.7990588158477,4.01507476132421,0.177350178659445,4.01507476132421
10720,45.2924615408471,3.91007835744206,0.180485539529751,3.91007835744206
10880,45.4943026574721,3.78984073125152,0.190726565803219,3.78984073125152
11040,45.6050130211132,3.66548510696465,0.192781190786177,3.66548510696465
11200,45.5602630018555,3.52500389261082,0.210390414634924,3.52500389261082
11360,45.528605556538,3.38571239190355,0.226981317634393,3.38571239190355
11520,45.7750280300965,3.27193751828197,0.242119310714593,3.27193751828197
11680,46.3077466739675,3.17991541827014,0.258373564284501,3.17991541827014
11840,46.6806842355004,3.07136004251071,0.269215643619564,3.07136004251071
12000,47.0406687412389,2.96336348676762,0.282299993328163,2.96336348676762
12160,47.3935373957939,2.86083197300832,0.294135970908595,2.86083197300832
12320,47.5892146648168,2.75508913747826,0.309396168725682,2.75508913747826
12480,48.1167491810445,2.66356211983621,0.324622812207794,2.66356211983621
12640,48.5214726755687,2.57029898194777,0.33811890485996,2.57029898194777
12800,49.0287388136095,2.48746669800007,0.350285640743649,2.48746669800007
12960,49.2877761324311,2.3952190504073,0.365067879876638,2.3952190504073
13120,49.535353214624,2.30109847259247,0.380677279864989,2.30109847259247
13280,50.1171338500559,2.22367097268074,0.397173928693651,2.22367097268074
13440,50.6648939951004,2.14529365913099,0.412227855509716,2.14529365913099
13600,51.215531362591,2.07402920168141,0.427641513526051,2.07402920168141
13760,51.9186934849264,2.01406904846575,0.436399738231984,2.01406904846575
13920,52.3717950468497,1.94510276820957,0.444484306815986,1.94510276820957
14080,52.6812237882962,1.87857138004599,0.460350925691095,1.87857138004599
14240,52.9310356076712,1.81288994529577,0.474233392913694,1.81288994529577
14400,53.555386749605,1.75664153223227,0.490681223633042,1.75664153223227
14560,54.1457972601511,1.70271681276833,0.508015891594773,1.70271681276833
14720,54.9376667750557,1.65855949915921,0.522506195279133,1.65855949915921
14880,55.4656175052627,1.61814579378368,0.532057942725464,1.61814579378368
15040,56.0436341946089,1.57862551910963,0.541478933077972,1.57862551910963
15200,56.3023561402554,1.53556033004634,0.551770685584144,1.53556033004634
15360,56.7323985160566,1.50141302836909,0.57351634410332,1.50141302836909
15520,57.3600373627066,1.46931781777313,0.585311412744587,1.46931781777313
15680,57.8821722376569,1.44429564867352,0.603187014830446,1.44429564867352
15840,58.5290880892431,1.42061116754541,0.613893769095319,1.42061116754541
16000,59.226158340476,1.40520561206767,0.628501134202803,1.40520561206767
16160,59.7656561664046,1.38655161305341,0.639082288879737,1.38655161305341
16320,60.1829161472712,1.37135254056591,0.656737708343136,1.37135254056591
16480,60.5677980368686,1.35303512790658,0.670611017639119,1.35303512790658
16640,61.6844175881581,1.35298383285239,0.683936528550503,1.35298383285239
16800,62.2763983357906,1.34657279520225,0.700607132772053,1.34657279520225
16960,62.8346470812192,1.34174382590047,0.713370874079498,1.34174382590047
17120,63.6463718406595,1.34995780573158,0.718358430816582,1.34995780573158
17280,63.8755090849012,1.34364660025164,0.737492085337688,1.34364660025164
17440,64.7169419216272,1.35367103686829,0.751236745028873,1.35367103686829
17600,65.522590837124,1.35945657367421,0.765562628244647,1.35945657367421
17760,66.06631436229,1.36320321732971,0.777674136865038,1.36320321732971
17920,67.1876890178347,1.38110925932848,0.787724828288543,1.38110925932848
18080,67.6677445015637,1.38541453166319,0.798320960659984,1.38541453166319
18240,68.1825346407451,1.39277908430438,0.807652388082928,1.39277908430438
18400,68.5961895928601,1.40135285305499,0.824031128348823,1.40135285305499
18560,69.3201035165408,1.4081144808015,0.835907743583442,1.4081144808015
18720,70.2869041802643,1.423608688946,0.847303428285662,1.423608688946
18880,70.8839752450474,1.43023341481949,0.856822871720358,1.43023341481949
19040,71.9910360046688,1.44672751016766,0.862865903955409,1.44672751016766
19200,72.4037417304554,1.45770451552258,0.875318769576274,1.45770451552258
19360,72.9267068284805,1.47564022962499,0.883389433059743,1.47564022962499
19520,73.3701598395054,1.48873509768938,0.891520567789274,1.48873509768938
19680,73.8462282168095,1.50167246388038,0.906933937804538,1.50167246388038
19840,74.4418519438798,1.51224298865584,0.919093249062102,1.51224298865584
